pname,pmass,pradius
WASP-62 b,165.27056,14.79588
K2-265 b,6.54090024,1.714977
HATS-72 b,39.8556312,8.092898
HD 15337 b,7.51027564,1.6365139999999998
L 98-59 c,2.4186710799999998,1.3450799999999998
K2-36 c,7.799499119999999,3.1945649999999994
WASP-186 b,1341.2341599999997,12.44199
Kepler-30 c,638.8342799999999,12.296273
2MASS J21402931+1625183 A b,6658.4965999999995,10.31228
HAT-P-56 b,734.18268,16.92559
Kepler-276 d,16.209227999999996,2.80225
Qatar-5 b,1373.01696,12.408363
WASP-183 b,159.549656,16.47723
HAT-P-20 b,2302.981688,9.718202999999999
Kepler-128 c,0.8994532399999999,1.3450799999999998
55 Cnc e,8.07918776,1.9055300000000002
Kepler-12 b,137.301696,19.660586
WASP-173 A b,1172.78532,13.4508
TOI-849 b,39.08966572,3.441163
GJ 3470 b,13.898618439999998,4.573271999999999
Kepler-45 b,160.50314,10.760639999999999
Kepler-49 b,311.47144,2.7237869999999997
WASP-15 b,171.62712,15.804689999999999
WASP-88 b,133.48775999999998,16.36514
WASP-103 b,473.56371999999993,17.127352
WASP-104 b,404.27721599999995,12.744633
TOI-763 b,9.789102399999999,2.275427
NGTS-11 b,109.33283199999998,9.157753
TOI-892 b,301.93659999999994,11.99363
HAT-P-17 b,184.34023999999997,11.76945
Kepler-223 e,4.7992028,4.595689999999999
KOI-1783.01,70.99959692,8.85511
HATS-25 b,194.82856399999997,14.123339999999999
HAT-P-30 b,263.79724,16.14096
HAT-P-53 b,471.656752,14.773462
Kepler-63 b,120.138984,6.108905
Kepler-418 b,349.6108,13.4508
WASP-60 b,174.8054,9.86392
TOI-1338 b,33.00008124,6.848699
Qatar-3 b,1369.8386799999998,12.285064
Kepler-131 c,8.263527999999999,0.840675
POTS-1 b,734.18268,10.547668999999999
WASP-68 b,343.25424,14.79588
WASP-77 A b,727.82612,15.468419999999998
HD 136352 c,11.28925056,2.611697
TOI-1235 b,6.909580719999999,1.737395
Kepler-1647 b,482.99685503999996,11.870330999999998
GJ 1214 b,6.261211599999999,2.847086
Kepler-4 b,24.472755999999997,4.001613
Kepler-435 b,266.97551999999996,22.30591
Kepler-428 b,403.64155999999997,12.10572
WASP-23 b,280.959952,10.783057999999999
WASP-98 b,293.037416,12.823095999999998
WASP-94 A b,158.914,17.71022
HAT-P-68 b,230.10747199999997,12.016048
HAT-P-65 b,167.495356,21.18501
WASP-131 b,85.81356,13.67498
LHS 1815 b,8.698952359999998,1.087273
TOI-1266 b,13.501333439999998,2.365099
HATS-23 b,467.20715999999993,20.84874
TOI-1266 c,2.1993697599999997,1.558051
Kepler-138 d,0.63883428,1.210572
Kepler-32 c,158.914,1.995202
Kepler-102 f,5.199666079999999,0.8855109999999999
Kepler-11 c,2.8604519999999996,2.869504
Kepler-57 c,2208.9046,1.546842
OGLE-TR-10 b,197.05335999999997,14.01125
Kepler-350 c,6.0387319999999995,3.104893
WASP-54 b,187.51851999999997,17.71022
TOI-564 b,464.98236399999996,11.43318
WASP-147 b,87.4027,12.498035
TOI-150.01,797.7482799999999,14.067294999999998
HAT-P-16 b,1332.6528039999998,14.448400999999999
Kepler-23 b,254.26239999999999,1.9055300000000002
Kepler-79 d,6.0387319999999995,7.162551
Kepler-107 e,8.600425679999999,2.903131
Kepler-15 b,209.76648,10.760639999999999
KELT-8 b,209.76648,18.15858
