pname,pmass,pradius,smass,steff
Kepler-539 b,308.29315999999994,8.373123,1.05,5820.0
HATS-68 b,409.99812,13.809488,1.35,6147.0
TOI-163 b,387.75015999999994,16.690201000000002,1.44,6495.0
WASP-171 b,344.525552,10.98482,1.17,5965.0
Qatar-4 b,1938.7507999999998,12.722215,0.9,5215.0
Kepler-6 b,212.309104,14.616536,1.21,5647.0
HD 219134 d,16.17108864,1.6140959999999998,0.81,4699.0
WASP-83 b,95.34839999999998,11.65736,1.11,5510.0
WASP-69 b,92.17011999999998,12.44199,0.98,4700.0
WASP-129 b,317.828,10.42437,1.0,5900.0
HAT-P-69 b,1137.82424,18.786284,1.65,7394.0
K2-146 b,5.77175648,2.051247,0.33,3385.0
K2-287 b,100.11582,9.494022999999999,1.06,5695.0
HATS-56 b,191.33245599999998,18.920792,1.57,6536.0
CoRoT-25 b,85.81356,12.10572,1.09,6040.0
KELT-1 b,8654.45644,12.44199,1.32,6518.0
Kepler-53 c,5002.61272,3.1721469999999994,0.98,5858.0
WASP-41 b,270.1538,12.3299,0.81,5545.0
WASP-47 b,363.09624204,12.632543,1.04,5552.0
HATS-65 b,260.936788,16.824709,1.26,6277.0
HATS-40 b,505.34652,17.71022,1.56,6460.0
L 98-59 b,1.01069304,0.7958389999999999,0.31,3412.0
K2-285 e,10.701268759999998,1.9503659999999998,0.83,4975.0
HATS-15 b,689.6867599999999,12.385945,0.87,5311.0
Kepler-425 b,79.457,10.962401999999999,0.93,5170.0
Lupus-TR-3 b,257.44068,9.97601,0.87,5000.0
WASP-37 b,572.0903999999999,13.002439999999998,0.93,5800.0
WASP-62 b,165.27056,14.79588,1.11,6230.0
K2-265 b,6.54090024,1.714977,0.92,5477.0
HATS-72 b,39.8556312,8.092898,0.73,4656.1
HD 15337 b,7.51027564,1.6365139999999998,0.9,5125.0
L 98-59 c,2.4186710799999998,1.3450799999999998,0.31,3412.0
K2-36 c,7.799499119999999,3.1945649999999994,0.79,4916.0
WASP-186 b,1341.2341599999997,12.44199,1.22,6361.0
Kepler-30 c,638.8342799999999,12.296273,0.99,5498.0
2MASS J21402931+1625183 A b,6658.4965999999995,10.31228,0.08,2300.0
HAT-P-56 b,734.18268,16.92559,1.42,6566.0
Qatar-5 b,1373.01696,12.408363,1.13,5747.0
WASP-183 b,159.549656,16.47723,0.78,5313.0
HAT-P-20 b,2302.981688,9.718202999999999,0.76,4595.0
55 Cnc e,8.07918776,1.9055300000000002,0.91,5196.0
Kepler-12 b,137.301696,19.660586,1.17,5947.0
WASP-173 A b,1172.78532,13.4508,1.05,5800.0
TOI-849 b,39.08966572,3.441163,0.93,5373.8
GJ 3470 b,13.898618439999998,4.573271999999999,0.54,3600.0
Kepler-45 b,160.50314,10.760639999999999,0.59,3820.0
WASP-15 b,171.62712,15.804689999999999,1.18,6300.0
WASP-88 b,133.48775999999998,16.36514,0.94,6430.0
WASP-103 b,473.56371999999993,17.127352,1.22,6110.0
WASP-104 b,404.27721599999995,12.744633,1.08,5475.0
TOI-763 b,9.789102399999999,2.275427,0.92,5450.0
NGTS-11 b,109.33283199999998,9.157753,0.86,5050.0
TOI-892 b,301.93659999999994,11.99363,1.28,6261.0
HAT-P-17 b,184.34023999999997,11.76945,0.99,5246.0
KOI-1783.01,70.99959692,8.85511,1.08,5922.0
HATS-25 b,194.82856399999997,14.123339999999999,0.99,5715.0
HAT-P-30 b,263.79724,16.14096,1.55,6304.0
HAT-P-53 b,471.656752,14.773462,1.09,5956.0
Kepler-63 b,120.138984,6.108905,0.98,5576.0
Kepler-418 b,349.6108,13.4508,0.98,5820.0
WASP-60 b,174.8054,9.86392,1.19,5900.0
TOI-1338 b,33.00008124,6.848699,1.13,6050.0
Qatar-3 b,1369.8386799999998,12.285064,1.15,6007.0
Kepler-131 c,8.263527999999999,0.840675,1.02,5685.0
POTS-1 b,734.18268,10.547668999999999,0.69,4400.0
WASP-68 b,343.25424,14.79588,1.49,5910.0
WASP-77 A b,727.82612,15.468419999999998,1.49,5365.0
HD 136352 c,11.28925056,2.611697,0.91,5850.0
TOI-1235 b,6.909580719999999,1.737395,0.64,3872.0
Kepler-1647 b,482.99685503999996,11.870330999999998,1.22,6210.0
GJ 1214 b,6.261211599999999,2.847086,0.15,3026.0
Kepler-4 b,24.472755999999997,4.001613,1.22,5857.0
Kepler-435 b,266.97551999999996,22.30591,1.54,6161.0
Kepler-428 b,403.64155999999997,12.10572,0.87,5150.0
WASP-23 b,280.959952,10.783057999999999,0.78,5150.0
WASP-98 b,293.037416,12.823095999999998,0.81,5473.0
WASP-94 A b,158.914,17.71022,1.67,6170.0
HAT-P-68 b,230.10747199999997,12.016048,0.68,4508.0
HAT-P-65 b,167.495356,21.18501,1.21,5835.0
WASP-131 b,85.81356,13.67498,1.06,6030.0
LHS 1815 b,8.698952359999998,1.087273,0.5,3643.0
TOI-1266 b,13.501333439999998,2.365099,0.45,3600.0
HATS-23 b,467.20715999999993,20.84874,1.12,5780.0
TOI-1266 c,2.1993697599999997,1.558051,0.45,3600.0
Kepler-138 d,0.63883428,1.210572,0.52,3841.0
Kepler-32 c,158.914,1.995202,0.58,3900.0
Kepler-102 f,5.199666079999999,0.8855109999999999,0.81,4909.0
Kepler-11 c,2.8604519999999996,2.869504,0.96,5663.0
Kepler-57 c,2208.9046,1.546842,0.83,5145.0
OGLE-TR-10 b,197.05335999999997,14.01125,1.14,5950.0
WASP-54 b,187.51851999999997,17.71022,1.08,6100.0
TOI-564 b,464.98236399999996,11.43318,1.0,5640.0
WASP-147 b,87.4027,12.498035,1.04,5702.0
TOI-150.01,797.7482799999999,14.067294999999998,1.35,6255.0
HAT-P-16 b,1332.6528039999998,14.448400999999999,1.22,6158.0
Kepler-79 d,6.0387319999999995,7.162551,1.17,6174.0
Kepler-107 e,8.600425679999999,2.903131,1.24,5854.0
Kepler-15 b,209.76648,10.760639999999999,1.02,5515.0
KELT-8 b,209.76648,18.15858,0.81,5754.0
WASP-19 b,339.75813199999993,15.602927999999999,0.9,5568.0
WASP-10 b,1001.1581999999999,12.10572,0.75,4675.0
WTS-1 b,1274.4902799999998,16.70141,1.2,6250.0
HATS-62 b,56.891211999999996,11.825494999999998,0.9,5416.0
WASP-118 b,163.36359199999998,16.14096,1.32,6410.0
WASP-93 b,467.20715999999993,17.900772999999997,1.33,6700.0
HATS-34 b,299.07614799999993,16.028869999999998,0.95,5380.0
HATS-59 b,256.169368,12.621334,1.04,5670.0
HATS-54 b,241.54927999999998,11.960002999999999,1.1,5702.0
CoRoT-17 b,772.32204,11.43318,1.04,5740.0
KOI-94 d,106.154552,11.265044999999999,1.28,6182.0
Kepler-106 d,8.10143572,0.9527650000000001,1.0,5858.0
Kepler-107 c,9.388639119999999,1.5916779999999997,1.24,5854.0
Kepler-8 b,187.51851999999997,15.871944,1.21,6213.0
Kepler-59 b,651.5473999999999,1.098482,1.04,6074.0
HATS-13 b,172.580604,13.585308,0.96,5523.0
OGLE-TR-182 b,321.00628,12.66617,1.14,5924.0
WASP-17 b,247.90583999999998,20.96083,2.28,6550.0
WASP-50 b,466.8257664,13.069693999999998,0.89,5400.0
Kepler-462 c,6.00059264,4.001613,1.59,7500.0
WASP-105 b,572.0903999999999,10.760639999999999,0.89,5070.0
HATS-28 b,213.58041599999999,13.383545999999999,0.93,5498.0
K2-38 b,19.069679999999998,1.9055300000000002,2.24,5757.0
XO-6 b,1398.4432,23.20263,1.47,6720.0
TIC 237913194 b,617.2219759999999,12.520453,1.03,5788.0
HAT-P-33 b,292.40175999999997,20.73665,1.82,6446.0
Kepler-99 b,6.0387319999999995,1.4795880000000001,0.79,4782.0
TrES-4 b,247.90583999999998,18.046490000000002,1.08,6200.0
WASP-119 b,390.92843999999997,15.692599999999999,1.02,5650.0
HATS-48 A b,77.232204,8.9672,0.73,4546.0
TOI-216.02,29.99978492,7.689374,0.87,5026.0
HATS-27 b,168.44884,16.813499999999998,1.42,6438.0
HAT-P-34 b,1058.36724,13.417173,1.39,6442.0
Kepler-109 c,21.79982252,2.522025,1.04,5952.0
Kepler-462 b,53.90045051999999,3.004012,1.59,7500.0
KELT-2 A b,540.3076,15.132150000000001,1.54,6327.0
HATS-14 b,340.393788,11.646150999999998,0.97,5346.0
Kepler-80 e,4.128585719999999,1.6028869999999997,0.73,4540.0
Kepler-422 b,136.66603999999998,12.890349999999998,1.15,5972.0
WASP-3 b,772.32204,15.91678,1.62,6400.0
WASP-132 b,130.30947999999998,9.75183,0.8,4775.0
TOI-169 b,251.401948,12.172974,1.15,5880.0
Kepler-1656 b,48.59907947999999,5.021632,1.03,5731.0
WASP-159 b,174.8054,15.468419999999998,1.41,6120.0
HD 219666 b,16.60015644,4.70778,0.92,5527.0
EPIC 249893012 d,10.18003084,3.9455679999999997,1.05,5430.0
NGTS-12 b,66.10822399999999,11.747032,1.02,5690.0
HIP 65426 b,2860.4519999999998,16.813499999999998,1.96,8840.0
CoRoT-16 b,170.03798,13.114529999999998,1.1,5650.0
Kepler-74 b,200.23164,10.760639999999999,1.18,6000.0
Kepler-426 b,108.06152,12.21781,0.91,5725.0
WASP-31 b,151.92178399999997,17.362741,1.16,6302.0
WASP-43 b,565.73384,10.42437,0.58,4400.0
WASP-75 b,340.07596,14.23543,1.14,6100.0
CoRoT-31 b,266.97551999999996,16.36514,1.25,5700.0
WASP-184 b,181.16195999999997,14.90797,1.23,6000.0
WASP-150 b,2688.82488,11.99363,1.39,6218.0
HD 2685 b,371.85875999999996,16.14096,1.43,6801.0
TOI-481 b,486.27684,11.09691,1.14,5735.0
Kepler-76 b,638.8342799999999,15.244240000000001,1.2,6409.0
K2-29 b,232.01443999999998,13.338709999999999,0.94,5358.0
Kepler-307 c,3.6391305999999997,2.196964,0.91,5367.0
